"ndex","name","form","regional","Gen","MegaOrPrimal","Mega","Exp","note","HP","Attack","Defense","SpAttack","SpDefense","Speed","TotalEVs"
1,"Bulbasaur",NA,NA,"III",NA,NA,64,NA,0,0,0,1,0,0,1
2,"Ivysaur",NA,NA,"III",NA,NA,141,NA,0,0,0,1,1,0,2
3,"Venusaur",NA,NA,"III",NA,NA,208,NA,0,0,0,2,1,0,3
4,"Charmander",NA,NA,"III",NA,NA,65,NA,0,0,0,0,0,1,1
5,"Charmeleon",NA,NA,"III",NA,NA,142,NA,0,0,0,1,0,1,2
6,"Charizard",NA,NA,"III",NA,NA,209,NA,0,0,0,3,0,0,3
7,"Squirtle",NA,NA,"III",NA,NA,66,NA,0,0,1,0,0,0,1
8,"Wartortle",NA,NA,"III",NA,NA,143,NA,0,0,1,0,1,0,2
9,"Blastoise",NA,NA,"III",NA,NA,210,NA,0,0,0,0,3,0,3
10,"Caterpie",NA,NA,"III",NA,NA,53,NA,1,0,0,0,0,0,1
11,"Metapod",NA,NA,"III",NA,NA,72,NA,0,0,2,0,0,0,2
12,"Butterfree",NA,NA,"III",NA,NA,160,NA,0,0,0,2,1,0,3
13,"Weedle",NA,NA,"III",NA,NA,52,NA,0,0,0,0,0,1,1
14,"Kakuna",NA,NA,"III",NA,NA,71,NA,0,0,2,0,0,0,2
15,"Beedrill",NA,NA,"III",NA,NA,159,NA,0,2,0,0,1,0,3
16,"Pidgey",NA,NA,"III",NA,NA,55,NA,0,0,0,0,0,1,1
17,"Pidgeotto",NA,NA,"III",NA,NA,113,NA,0,0,0,0,0,2,2
18,"Pidgeot",NA,NA,"III",NA,NA,172,NA,0,0,0,0,0,3,3
19,"Rattata",NA,NA,"III",NA,NA,57,NA,0,0,0,0,0,1,1
19,"Rattata",NA,NA,"III",NA,NA,57,NA,0,0,0,0,0,1,1
20,"Raticate",NA,NA,"III",NA,NA,116,NA,0,0,0,0,0,2,2
20,"Raticate",NA,NA,"III",NA,NA,116,NA,0,0,0,0,0,2,2
21,"Spearow",NA,NA,"III",NA,NA,58,NA,0,0,0,0,0,1,1
22,"Fearow",NA,NA,"III",NA,NA,162,NA,0,0,0,0,0,2,2
23,"Ekans",NA,NA,"III",NA,NA,62,NA,0,1,0,0,0,0,1
24,"Arbok",NA,NA,"III",NA,NA,147,NA,0,2,0,0,0,0,2
25,"Pikachu",NA,NA,"III",NA,NA,82,NA,0,0,0,0,0,2,2
26,"Raichu",NA,NA,"III",NA,NA,122,NA,0,0,0,0,0,3,3
26,"Raichu",NA,NA,"III",NA,NA,122,NA,0,0,0,0,0,3,3
27,"Sandshrew",NA,NA,"III",NA,NA,93,NA,0,0,1,0,0,0,1
27,"Sandshrew",NA,NA,"III",NA,NA,93,NA,0,0,1,0,0,0,1
28,"Sandslash",NA,NA,"III",NA,NA,163,NA,0,0,2,0,0,0,2
28,"Sandslash",NA,NA,"III",NA,NA,163,NA,0,0,2,0,0,0,2
29,"Nidoran♀",NA,NA,"III",NA,NA,59,NA,1,0,0,0,0,0,1
30,"Nidorina",NA,NA,"III",NA,NA,117,NA,2,0,0,0,0,0,2
31,"Nidoqueen",NA,NA,"III",NA,NA,194,NA,3,0,0,0,0,0,3
32,"Nidoran♂",NA,NA,"III",NA,NA,60,NA,0,1,0,0,0,0,1
33,"Nidorino",NA,NA,"III",NA,NA,118,NA,0,2,0,0,0,0,2
34,"Nidoking",NA,NA,"III",NA,NA,195,NA,0,3,0,0,0,0,3
35,"Clefairy",NA,NA,"III",NA,NA,68,NA,2,0,0,0,0,0,2
36,"Clefable",NA,NA,"III",NA,NA,129,NA,3,0,0,0,0,0,3
37,"Vulpix",NA,NA,"III",NA,NA,63,NA,0,0,0,0,0,1,1
37,"Vulpix",NA,NA,"III",NA,NA,63,NA,0,0,0,0,0,1,1
38,"Ninetales",NA,NA,"III",NA,NA,178,NA,0,0,0,0,1,1,2
38,"Ninetales",NA,NA,"III",NA,NA,178,NA,0,0,0,0,1,1,2
39,"Jigglypuff",NA,NA,"III",NA,NA,76,NA,2,0,0,0,0,0,2
40,"Wigglytuff",NA,NA,"III",NA,NA,109,NA,3,0,0,0,0,0,3
41,"Zubat",NA,NA,"III",NA,NA,54,NA,0,0,0,0,0,1,1
42,"Golbat",NA,NA,"III",NA,NA,171,NA,0,0,0,0,0,2,2
43,"Oddish",NA,NA,"III",NA,NA,78,NA,0,0,0,1,0,0,1
44,"Gloom",NA,NA,"III",NA,NA,132,NA,0,0,0,2,0,0,2
45,"Vileplume",NA,NA,"III",NA,NA,184,NA,0,0,0,3,0,0,3
46,"Paras",NA,NA,"III",NA,NA,70,NA,0,1,0,0,0,0,1
47,"Parasect",NA,NA,"III",NA,NA,128,NA,0,2,1,0,0,0,3
48,"Venonat",NA,NA,"III",NA,NA,75,NA,0,0,0,0,1,0,1
49,"Venomoth",NA,NA,"III",NA,NA,138,NA,0,0,0,1,0,1,2
50,"Diglett",NA,NA,"III",NA,NA,81,NA,0,0,0,0,0,1,1
50,"Diglett",NA,NA,"III",NA,NA,81,NA,0,0,0,0,0,1,1
51,"Dugtrio",NA,NA,"III",NA,NA,153,NA,0,0,0,0,0,2,2
51,"Dugtrio",NA,NA,"III",NA,NA,153,NA,0,0,0,0,0,2,2
52,"Meowth",NA,NA,"III",NA,NA,69,NA,0,0,0,0,0,1,1
52,"Meowth",NA,NA,"III",NA,NA,69,NA,0,0,0,0,0,1,1
52,"Meowth",NA,NA,"III",NA,NA,69,NA,0,0,0,0,0,1,1
53,"Persian",NA,NA,"III",NA,NA,148,NA,0,0,0,0,0,2,2
53,"Persian",NA,NA,"III",NA,NA,148,NA,0,0,0,0,0,2,2
54,"Psyduck",NA,NA,"III",NA,NA,80,NA,0,0,0,1,0,0,1
55,"Golduck",NA,NA,"III",NA,NA,174,NA,0,0,0,2,0,0,2
56,"Mankey",NA,NA,"III",NA,NA,74,NA,0,1,0,0,0,0,1
57,"Primeape",NA,NA,"III",NA,NA,149,NA,0,2,0,0,0,0,2
58,"Growlithe",NA,NA,"III",NA,NA,91,NA,0,1,0,0,0,0,1
58,"Growlithe",NA,NA,"III",NA,NA,91,NA,0,1,0,0,0,0,1
59,"Arcanine",NA,NA,"III",NA,NA,213,NA,0,2,0,0,0,0,2
59,"Arcanine",NA,NA,"III",NA,NA,213,NA,0,2,0,0,0,0,2
60,"Poliwag",NA,NA,"III",NA,NA,77,NA,0,0,0,0,0,1,1
61,"Poliwhirl",NA,NA,"III",NA,NA,131,NA,0,0,0,0,0,2,2
62,"Poliwrath",NA,NA,"III",NA,NA,185,NA,0,0,3,0,0,0,3
63,"Abra",NA,NA,"III",NA,NA,73,NA,0,0,0,1,0,0,1
64,"Kadabra",NA,NA,"III",NA,NA,145,NA,0,0,0,2,0,0,2
65,"Alakazam",NA,NA,"III",NA,NA,186,NA,0,0,0,3,0,0,3
66,"Machop",NA,NA,"III",NA,NA,88,NA,0,1,0,0,0,0,1
67,"Machoke",NA,NA,"III",NA,NA,146,NA,0,2,0,0,0,0,2
68,"Machamp",NA,NA,"III",NA,NA,193,NA,0,3,0,0,0,0,3
69,"Bellsprout",NA,NA,"III",NA,NA,84,NA,0,1,0,0,0,0,1
70,"Weepinbell",NA,NA,"III",NA,NA,151,NA,0,2,0,0,0,0,2
71,"Victreebel",NA,NA,"III",NA,NA,191,NA,0,3,0,0,0,0,3
72,"Tentacool",NA,NA,"III",NA,NA,105,NA,0,0,0,0,1,0,1
73,"Tentacruel",NA,NA,"III",NA,NA,205,NA,0,0,0,0,2,0,2
74,"Geodude",NA,NA,"III",NA,NA,86,NA,0,0,1,0,0,0,1
