"ndex","name","form","regional","type","type2","generation","isLegendary","isMythical","isUltraBeast","family","size","Japanese_Kana","Japanese_Hepburn","Japanese_Trademarked","German","French","Spanish","Italian","Korean_Hangul","Korean_Revised","Korean_McCune-Reischauer","Korean_Official","Chinese_Traditional","Chinese_Simplified","Chinese_Pinyin","Chinese_Yale","Chinese_Former_names","Brazilian_Portuguese","Turkish","Russian_Cyrillic","Russian_Romanization","Thai","Thai_RTGS","Hindi_Devanagari","Hindi_Transliteration","Hindi_Romanization"
1,"Bulbasaur",NA,NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,"フシギダネ","Fushigidane","Fushigidane","Bisasam","Bulbizarre",NA,NA,"이상해씨","Isanghaessi","Isanghaessi","Isanghessi","妙蛙種子","妙蛙种子","Miàowāzhǒngzǐ","Miuhwājúngjí","奇異種子 Kèihyihjúngjí (HK)",NA,NA,"Бульбазавр","Bul'bazavr","ฟุชิกิดาเนะ","Fuchikidane","बल्बासॉर","Balbāsŏr","Bulbasaur"
2,"Ivysaur",NA,NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,"フシギソウ","Fushigisō","Fushigisou","Bisaknosp","Herbizarre",NA,NA,"이상해풀","Isanghaepul","Isanghaep'ul","Isanghepul","妙蛙草","妙蛙草","Miàowācǎo","Miuhwāchóu","奇異草 Kèihyihchóu (HK)",NA,NA,"Айвизавр","Ayvizavr","ฟุชิกิโซ","Fuchikiso","आइवीसॉर","Āivīsŏr","Ivysaur"
3,"Venusaur",NA,NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,"フシギバナ","Fushigibana","Fushigibana","Bisaflor","Florizarre",NA,NA,"이상해꽃","Isanghaekkot","Isanghaekkot","Isanghekkot","妙蛙花","妙蛙花","Miàowāhuā","Miuhwāfā","奇異花 Kèihyihfā (HK)",NA,NA,"Венузавр","Venuzavr","ฟุชิกิบานะ","Fuchikibana","वीनासॉर","Vīnāsŏr","Venusaur"
4,"Charmander",NA,NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,"ヒトカゲ","Hitokage","Hitokage","Glumanda","Salamèche",NA,NA,"파이리","Pairi","P'airi","Fairit","小火龍","小火龙","Xiǎohuǒlóng","Síufólùhng","-",NA,NA,"Чармандер","Charmander","ฮิโตคาเงะ","Hitokhange","चारमैंडर","Cārmaiṇḍar","Charmander"
5,"Charmeleon",NA,NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,"リザード","Rizādo","Lizardo","Glutexo","Reptincel",NA,NA,"리자드","Rijadeu","Rijadŭ","Rizard","火恐龍","火恐龙","Huǒkǒnglóng","Fóhúnglùhng","-",NA,NA,"Чармелеон","Charmeleon","ลิซาร์โดะ","Lisado","चार्मिलियन","Cārmiliyan","Charmeleon"
6,"Charizard",NA,NA,"Fire","Flying",1,FALSE,FALSE,FALSE,NA,NA,"リザードン","Rizādon","Lizardon","Glurak","Dracaufeu",NA,NA,"리자몽","Rijamong","Rijamong","Rizamon","噴火龍","喷火龙","Pēnhuǒlóng","Panfólùhng","-",NA,NA,"Чаризард","Charizard","ลิซาร์ดอน","Lisadon","चारिज़ार्ड","Cārizārḍ","Charizard"
7,"Squirtle",NA,NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,"ゼニガメ","Zenigame","Zenigame","Schiggy","Carapuce",NA,NA,"꼬부기","Kkobugi","Kkobugi","Kkobugi","傑尼龜","杰尼龟","Jiéníguī","Gihtnèihgwāi","車厘龜 Chēléigwāi (HK)",NA,NA,"Сквиртл","Skvirtl","เซนิกาเมะ","Senikame","स्क्वर्टल","Skvarṭal","Squirtle"
8,"Wartortle",NA,NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,"カメール","Kamēru","Kameil","Schillok","Carabaffe",NA,NA,"어니부기","Eonibugi","Ŏnibugi","Eonibugi","卡咪龜","卡咪龟","Kǎmīguī","Kāmāigwāi","卡美龜 Kāméihgwāi (HK)",NA,NA,"Вартортл","Vartortl","คาเมล","Khamen","वॉरटॉर्टल","Vŏrṭŏrṭal","Wartortle"
9,"Blastoise",NA,NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,"カメックス","Kamekkusu","Kamex","Turtok","Tortank",NA,NA,"거북왕","Geobugwang","Kŏbugwang","Geobugwang","水箭龜","水箭龟","Shuǐjiànguī","Séuijingwāi","-",NA,NA,"Бластойз","Blastoyz","คาเม็กซ์","Khamek","ब्लास्टॉइस","Blāsṭŏis","Blastoise"
10,"Caterpie",NA,NA,"Bug",NA,1,FALSE,FALSE,FALSE,NA,NA,"キャタピー","Kyatapī","Caterpie","Raupy","Chenipan",NA,NA,"캐터피","Kaeteopi","K'aet'ŏp'i","Caterpie","綠毛蟲","绿毛虫","Lǜmáochóng","Luhkmòuhchùhng","-",NA,NA,"Катерпи","Katerpi","คาเตอร์ปี","Khatoepi","कैटरपी","Kaiṭarpī","Caterpie"
11,"Metapod",NA,NA,"Bug",NA,1,FALSE,FALSE,FALSE,NA,NA,"トランセル","Toranseru","Transel","Safcon","Chrysacier",NA,NA,"단데기","Dandegi","Tandegi","Tandegi","鐵甲蛹","铁甲蛹","Tiějiáyǒng","Titgaapyúng","鐵甲蟲 Titgaapchùhng (HK)",NA,NA,"Метапод","Metapod","ทรานเซล","Thransel","मेटापॉड","Meṭāpŏḍ","Metapod"
12,"Butterfree",NA,NA,"Bug","Flying",1,FALSE,FALSE,FALSE,NA,NA,"バタフリー","Batafurī","Butterfree","Smettbo","Papilusion",NA,NA,"버터플","Beoteopeul","Pŏt'ŏp'ŭl","Butterfle","巴大蝶","巴大蝶","Bādàdié","Bādaaidihp","巴大蝴 Bādàhú (TW/CN)巴他蝶 Bātādihp (HK)",NA,NA,"Баттерфри","Batterfri","บัตเตอร์ฟรี","Battoefri","बटरफ़्री","Baṭrafrī","Butterfree"
13,"Weedle",NA,NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,"ビードル","Bīdoru","Beedle","Hornliu","Aspicot",NA,NA,"뿔충이","Ppulchungi","Ppulch'ungi","Ppulchungi","獨角蟲","独角虫","Dújiǎochóng","Duhkgokchùhng","-",NA,NA,"Видл","Vidl","บีเดิล","Bidoen","वीडल","Vīḍal","Weedle"
