"ndex","name","regional","type","type2","generation","isLegendary","isMythical","isUltraBeast","family","size","form","lbs","kg","lightest","heaveiest","MegaOrPrimal","ft","m","inch","smallest","bigest"
1,"Bulbasaur",NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,15.2,6.9,233,949,NA,"2'04""",0.7,28,380,822
2,"Ivysaur",NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,28.7,13,367,815,NA,"3'03""",1,39,533,669
3,"Venusaur",NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,220.5,100,955,227,NA,"6'07""",2,79,1026,176
3,"Venusaur",NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,342.8,155.5,1043,139,"Mega","7'10""",2.4,94,1096,106
4,"Charmander",NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,18.7,8.5,272,910,NA,"2'00""",0.6,24,286,916
5,"Charmeleon",NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,41.9,19,448,734,NA,"3'07""",1.1,43,610,592
6,"Charizard",NA,"Fire","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,199.5,90.5,934,248,NA,"5'07""",1.7,67,926,276
7,"Squirtle",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,19.8,9,287,895,NA,"1'08""",0.5,20,209,993
8,"Wartortle",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,49.6,22.5,502,680,NA,"3'03""",1,39,534,668
9,"Blastoise",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,188.5,85.5,919,263,NA,"5'03""",1.6,63,880,322
9,"Blastoise",NA,"Water",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,222.9,101.1,963,219,"Mega","5'03""",1.6,63,881,321
10,"Caterpie",NA,"Bug",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,6.4,2.9,109,1073,NA,"1'00""",0.3,12,39,1163
11,"Metapod",NA,"Bug",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,21.8,9.9,304,878,NA,"2'04""",0.7,28,381,821
12,"Butterfree",NA,"Bug","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,70.5,32,606,576,NA,"3'07""",1.1,43,611,591
13,"Weedle",NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,7.1,3.2,117,1065,NA,"1'00""",0.3,12,40,1162
14,"Kakuna",NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,22,10,308,874,NA,"2'00""",0.6,24,287,915
15,"Beedrill",NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,65,29.5,572,610,NA,"3'03""",1,39,535,667
15,"Beedrill",NA,"Bug","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,89.3,40.5,697,485,"Mega","4'07""",1.4,55,773,429
16,"Pidgey",NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,4,1.8,69,1113,NA,"1'00""",0.3,12,41,1161
17,"Pidgeotto",NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,66.1,30,579,603,NA,"3'07""",1.1,43,612,590
18,"Pidgeot",NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,87.1,39.5,677,505,NA,"4'11""",1.5,59,821,381
18,"Pidgeot",NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,111.3,50.5,756,426,"Mega","7'03""",2.2,87,1073,129
19,"Rattata",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,7.7,3.5,129,1053,NA,"1'00""",0.3,12,42,1160
19,"Rattata","Alolan Form","Dark","Normal",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Raticate",NA,"Normal",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,40.8,18.5,443,739,NA,"2'04""",0.7,28,382,820
20,"Raticate","Alolan Form","Dark","Normal",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"Spearow",NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,4.4,2,77,1105,NA,"1'00""",0.3,12,44,1158
22,"Fearow",NA,"Normal","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,83.8,38,663,519,NA,"3'11""",1.2,47,655,547
23,"Ekans",NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,15.2,6.9,234,948,NA,"6'07""",2,79,1027,175
24,"Arbok",NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,143.3,65,848,334,NA,"11'06""",3.5,138,1150,52
25,"Pikachu",NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,13.2,6,203,979,NA,"1'04""",0.4,16,123,1079
26,"Raichu",NA,"Electric",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,66.1,30,580,602,NA,"2'07""",0.8,31,437,765
26,"Raichu","Alolan Form","Electric","Psychic",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Sandshrew",NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,26.5,12,347,835,NA,"2'00""",0.6,24,288,914
27,"Sandshrew","Alolan Form","Ice","Steel",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Sandslash",NA,"Ground",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,65,29.5,573,609,NA,"3'03""",1,39,536,666
28,"Sandslash","Alolan Form","Ice","Steel",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Nidoran♀",NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,15.4,7,235,947,NA,"1'04""",0.4,16,124,1078
30,"Nidorina",NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,44.1,20,466,716,NA,"2'07""",0.8,31,438,764
31,"Nidoqueen",NA,"Poison","Ground",1,FALSE,FALSE,FALSE,NA,NA,NA,132.3,60,813,369,NA,"4'03""",1.3,51,731,471
32,"Nidoran♂",NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,19.8,9,288,894,NA,"1'08""",0.5,20,210,992
33,"Nidorino",NA,"Poison",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,43,19.5,454,728,NA,"2'11""",0.9,35,492,710
34,"Nidoking",NA,"Poison","Ground",1,FALSE,FALSE,FALSE,NA,NA,NA,136.7,62,839,343,NA,"4'07""",1.4,55,775,427
35,"Clefairy",NA,"Fairy",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,16.5,7.5,244,938,NA,"2'00""",0.6,24,289,913
36,"Clefable",NA,"Fairy",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,88.2,40,685,497,NA,"4'03""",1.3,51,732,470
37,"Vulpix",NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,21.8,9.9,305,877,NA,"2'00""",0.6,24,290,912
37,"Vulpix","Alolan Form","Ice",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Ninetales",NA,"Fire",NA,1,FALSE,FALSE,FALSE,NA,NA,NA,43.9,19.9,462,720,NA,"3'07""",1.1,43,613,589
38,"Ninetales","Alolan Form","Ice","Fairy",1,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Jigglypuff",NA,"Normal","Fairy",1,FALSE,FALSE,FALSE,NA,NA,NA,12.1,5.5,190,992,NA,"1'08""",0.5,20,211,991
40,"Wigglytuff",NA,"Normal","Fairy",1,FALSE,FALSE,FALSE,NA,NA,NA,26.5,12,348,834,NA,"3'03""",1,39,537,665
41,"Zubat",NA,"Poison","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,16.5,7.5,245,937,NA,"2'07""",0.8,31,439,763
42,"Golbat",NA,"Poison","Flying",1,FALSE,FALSE,FALSE,NA,NA,NA,121.3,55,780,402,NA,"5'03""",1.6,63,882,320
43,"Oddish",NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,11.9,5.4,187,995,NA,"1'08""",0.5,20,212,990
44,"Gloom",NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,19,8.6,281,901,NA,"2'07""",0.8,31,440,762
45,"Vileplume",NA,"Grass","Poison",1,FALSE,FALSE,FALSE,NA,NA,NA,41,18.6,445,737,NA,"3'11""",1.2,47,657,545
