ndex,name,form,regional,type,type2,generation,isLegendary,isMythical,isUltraBeast,family,size,NA_Kanto_Kdex,NA_Johto_Jdex,GenerationIII_Hoenn_Hdex,GenerationVI_Hoenn_Hdex,NA_Sinnoh_Sdex,BlackandWhite_Unova_Udex,Black2andWhite2_Unova_Udex,NA_Blueberry_BBdex,NA_Kalos_CeKdex,NA_Kalos_CoKdex,NA_Kalos_MoKdex,SunandMoon_Alola_Adex,SunandMoon_Alola_Melemele,SunandMoon_Alola_Akala,SunandMoon_Alola_Ula'ula,SunandMoon_Alola_Poni,UltraSunandUltraMoon_Alola_Adex,UltraSunandUltraMoon_Alola_Melemele,UltraSunandUltraMoon_Alola_Akala,UltraSunandUltraMoon_Alola_Ula'ula,UltraSunandUltraMoon_Alola_Poni,NA_Galar_Gdex,NA_IsleofArmor_IoAdex,NA_CrownTundra_CTdex,NA_Hisui_LAdex,NA_Paldea_Pdex,NA_Kitakami_Kdex
1,Bulbasaur,NA,NA,Grass,Poison,1,FALSE,FALSE,FALSE,NA,NA,1,231,203,NA,NA,NA,NA,164,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA
2,Ivysaur,NA,NA,Grass,Poison,1,FALSE,FALSE,FALSE,NA,NA,2,232,204,NA,NA,NA,NA,165,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA
3,Venusaur,NA,NA,Grass,Poison,1,FALSE,FALSE,FALSE,NA,NA,3,233,205,NA,NA,NA,NA,166,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA
4,Charmander,NA,NA,Fire,NA,1,FALSE,FALSE,FALSE,NA,NA,4,234,206,NA,NA,NA,NA,167,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,NA,NA,NA,NA,NA
5,Charmeleon,NA,NA,Fire,NA,1,FALSE,FALSE,FALSE,NA,NA,5,235,207,NA,NA,NA,NA,168,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,NA,NA,NA,NA,NA
6,Charizard,NA,NA,Fire,Flying,1,FALSE,FALSE,FALSE,NA,NA,6,236,208,NA,NA,NA,NA,169,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA
7,Squirtle,NA,NA,Water,NA,1,FALSE,FALSE,FALSE,NA,NA,7,237,209,NA,NA,NA,NA,170,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA
8,Wartortle,NA,NA,Water,NA,1,FALSE,FALSE,FALSE,NA,NA,8,238,210,NA,NA,NA,NA,171,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA
9,Blastoise,NA,NA,Water,NA,1,FALSE,FALSE,FALSE,NA,NA,9,239,211,NA,NA,NA,NA,172,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA
10,Caterpie,NA,NA,Bug,NA,1,FALSE,FALSE,FALSE,NA,NA,10,24,212,NA,NA,NA,NA,NA,23,NA,NA,17,17,8,NA,NA,17,17,8,NA,NA,13,NA,NA,NA,NA,NA
