ndex,name,form,MegaOrPrimal,Mega,HP,Attack,Defense,Speed,Special,Total,Average,Gen,SpAttack,SpDefense
1,Bulbasaur,NA,NA,NA,45,49,49,45,65,253,50.6,I,NA,NA
2,Ivysaur,NA,NA,NA,60,62,63,60,80,325,65,I,NA,NA
3,Venusaur,NA,NA,NA,80,82,83,80,100,425,85,I,NA,NA
4,Charmander,NA,NA,NA,39,52,43,65,50,249,49.8,I,NA,NA
5,Charmeleon,NA,NA,NA,58,64,58,80,65,325,65,I,NA,NA
6,Charizard,NA,NA,NA,78,84,78,100,85,425,85,I,NA,NA
7,Squirtle,NA,NA,NA,44,48,65,43,50,250,50,I,NA,NA
8,Wartortle,NA,NA,NA,59,63,80,58,65,325,65,I,NA,NA
9,Blastoise,NA,NA,NA,79,83,100,78,85,425,85,I,NA,NA
10,Caterpie,NA,NA,NA,45,30,35,45,20,175,35,I,NA,NA
11,Metapod,NA,NA,NA,50,20,55,30,25,180,36,I,NA,NA
12,Butterfree,NA,NA,NA,60,45,50,70,80,305,61,I,NA,NA
13,Weedle,NA,NA,NA,40,35,30,50,20,175,35,I,NA,NA
14,Kakuna,NA,NA,NA,45,25,50,35,25,180,36,I,NA,NA
15,Beedrill,NA,NA,NA,65,80,40,75,45,305,61,I,NA,NA
16,Pidgey,NA,NA,NA,40,45,40,56,35,216,43.2,I,NA,NA
17,Pidgeotto,NA,NA,NA,63,60,55,71,50,299,59.8,I,NA,NA
18,Pidgeot,NA,NA,NA,83,80,75,91,70,399,79.8,I,NA,NA
19,Rattata,NA,NA,NA,30,56,35,72,25,218,43.6,I,NA,NA
20,Raticate,NA,NA,NA,55,81,60,97,50,343,68.6,I,NA,NA
21,Spearow,NA,NA,NA,40,60,30,70,31,231,46.2,I,NA,NA
22,Fearow,NA,NA,NA,65,90,65,100,61,381,76.2,I,NA,NA
23,Ekans,NA,NA,NA,35,60,44,55,40,234,46.8,I,NA,NA
24,Arbok,NA,NA,NA,60,85,69,80,65,359,71.8,I,NA,NA
25,Pikachu,NA,NA,NA,35,55,30,90,50,260,52,I,NA,NA
26,Raichu,NA,NA,NA,60,90,55,100,90,395,79,I,NA,NA
27,Sandshrew,NA,NA,NA,50,75,85,40,30,280,56,I,NA,NA
28,Sandslash,NA,NA,NA,75,100,110,65,55,405,81,I,NA,NA
29,Nidoran♀,NA,NA,NA,55,47,52,41,40,235,47,I,NA,NA
30,Nidorina,NA,NA,NA,70,62,67,56,55,310,62,I,NA,NA
31,Nidoqueen,NA,NA,NA,90,82,87,76,75,410,82,I,NA,NA
32,Nidoran♂,NA,NA,NA,46,57,40,50,40,233,46.6,I,NA,NA
33,Nidorino,NA,NA,NA,61,72,57,65,55,310,62,I,NA,NA
34,Nidoking,NA,NA,NA,81,92,77,85,75,410,82,I,NA,NA
35,Clefairy,NA,NA,NA,70,45,48,35,60,258,51.6,I,NA,NA
36,Clefable,NA,NA,NA,95,70,73,60,85,383,76.6,I,NA,NA
37,Vulpix,NA,NA,NA,38,41,40,65,65,249,49.8,I,NA,NA
38,Ninetales,NA,NA,NA,73,76,75,100,100,424,84.8,I,NA,NA
39,Jigglypuff,NA,NA,NA,115,45,20,20,25,225,45,I,NA,NA
40,Wigglytuff,NA,NA,NA,140,70,45,45,50,350,70,I,NA,NA
41,Zubat,NA,NA,NA,40,45,35,55,40,215,43,I,NA,NA
42,Golbat,NA,NA,NA,75,80,70,90,75,390,78,I,NA,NA
43,Oddish,NA,NA,NA,45,50,55,30,75,255,51,I,NA,NA
44,Gloom,NA,NA,NA,60,65,70,40,85,320,64,I,NA,NA
45,Vileplume,NA,NA,NA,75,80,85,50,100,390,78,I,NA,NA
46,Paras,NA,NA,NA,35,70,55,25,55,240,48,I,NA,NA
47,Parasect,NA,NA,NA,60,95,80,30,80,345,69,I,NA,NA
48,Venonat,NA,NA,NA,60,55,50,45,40,250,50,I,NA,NA
49,Venomoth,NA,NA,NA,70,65,60,90,90,375,75,I,NA,NA
50,Diglett,NA,NA,NA,10,55,25,95,45,230,46,I,NA,NA
51,Dugtrio,NA,NA,NA,35,80,50,120,70,355,71,I,NA,NA
52,Meowth,NA,NA,NA,40,45,35,90,40,250,50,I,NA,NA
53,Persian,NA,NA,NA,65,70,60,115,65,375,75,I,NA,NA
54,Psyduck,NA,NA,NA,50,52,48,55,50,255,51,I,NA,NA
55,Golduck,NA,NA,NA,80,82,78,85,80,405,81,I,NA,NA
56,Mankey,NA,NA,NA,40,80,35,70,35,260,52,I,NA,NA
57,Primeape,NA,NA,NA,65,105,60,95,60,385,77,I,NA,NA
58,Growlithe,NA,NA,NA,55,70,45,60,50,280,56,I,NA,NA
59,Arcanine,NA,NA,NA,90,110,80,95,80,455,91,I,NA,NA
60,Poliwag,NA,NA,NA,40,50,40,90,40,260,52,I,NA,NA
61,Poliwhirl,NA,NA,NA,65,65,65,90,50,335,67,I,NA,NA
62,Poliwrath,NA,NA,NA,90,85,95,70,70,410,82,I,NA,NA
63,Abra,NA,NA,NA,25,20,15,90,105,255,51,I,NA,NA
64,Kadabra,NA,NA,NA,40,35,30,105,120,330,66,I,NA,NA
65,Alakazam,NA,NA,NA,55,50,45,120,135,405,81,I,NA,NA
66,Machop,NA,NA,NA,70,80,50,35,35,270,54,I,NA,NA
67,Machoke,NA,NA,NA,80,100,70,45,50,345,69,I,NA,NA
68,Machamp,NA,NA,NA,90,130,80,55,65,420,84,I,NA,NA
69,Bellsprout,NA,NA,NA,50,75,35,40,70,270,54,I,NA,NA
70,Weepinbell,NA,NA,NA,65,90,50,55,85,345,69,I,NA,NA
71,Victreebel,NA,NA,NA,80,105,65,70,100,420,84,I,NA,NA
72,Tentacool,NA,NA,NA,40,40,35,70,100,285,57,I,NA,NA
73,Tentacruel,NA,NA,NA,80,70,65,100,120,435,87,I,NA,NA
