"ndex","name","form","MegaOrPrimal","Mega","HP_I","HP_VI","HP_VII","HP_VIII","HP_IX","HP_II-V","Attack_I","Attack_VI","Attack_VII","Attack_VIII","Attack_IX","Attack_II-V","Defense_I","Defense_VI","Defense_VII","Defense_VIII","Defense_IX","Defense_II-V","Speed_I","Speed_VI","Speed_VII","Speed_VIII","Speed_IX","Speed_II-V","Special_I","Special_VI","Special_VII","Special_VIII","Special_IX","Special_II-V","Total_I","Total_VI","Total_VII","Total_VIII","Total_IX","Total_II-V","Average_I","Average_VI","Average_VII","Average_VIII","Average_IX","Average_II-V","SpAttack_I","SpAttack_VI","SpAttack_VII","SpAttack_VIII","SpAttack_IX","SpAttack_II-V","SpDefense_I","SpDefense_VI","SpDefense_VII","SpDefense_VIII","SpDefense_IX","SpDefense_II-V"
1,"Bulbasaur",NA,NA,NA,45,45,45,45,45,45,49,49,49,49,49,49,49,49,49,49,49,49,45,45,45,45,45,45,65,NA,NA,NA,NA,NA,253,318,318,318,318,318,50.6,53,53,53,53,53,NA,65,65,65,65,65,NA,65,65,65,65,65
2,"Ivysaur",NA,NA,NA,60,60,60,60,60,60,62,62,62,62,62,62,63,63,63,63,63,63,60,60,60,60,60,60,80,NA,NA,NA,NA,NA,325,405,405,405,405,405,65,67.5,67.5,67.5,67.5,67.5,NA,80,80,80,80,80,NA,80,80,80,80,80
3,"Venusaur",NA,NA,NA,80,80,80,80,80,80,82,82,82,82,82,82,83,83,83,83,83,83,80,80,80,80,80,80,100,NA,NA,NA,NA,NA,425,525,525,525,525,525,85,87.5,87.5,87.5,87.5,87.5,NA,100,100,100,100,100,NA,100,100,100,100,100
4,"Charmander",NA,NA,NA,39,39,39,39,39,39,52,52,52,52,52,52,43,43,43,43,43,43,65,65,65,65,65,65,50,NA,NA,NA,NA,NA,249,309,309,309,309,309,49.8,51.5,51.5,51.5,51.5,51.5,NA,60,60,60,60,60,NA,50,50,50,50,50
5,"Charmeleon",NA,NA,NA,58,58,58,58,58,58,64,64,64,64,64,64,58,58,58,58,58,58,80,80,80,80,80,80,65,NA,NA,NA,NA,NA,325,405,405,405,405,405,65,67.5,67.5,67.5,67.5,67.5,NA,80,80,80,80,80,NA,65,65,65,65,65
6,"Charizard",NA,NA,NA,78,78,78,78,78,78,84,84,84,84,84,84,78,78,78,78,78,78,100,100,100,100,100,100,85,NA,NA,NA,NA,NA,425,534,534,534,534,534,85,89,89,89,89,89,NA,109,109,109,109,109,NA,85,85,85,85,85
7,"Squirtle",NA,NA,NA,44,44,44,44,44,44,48,48,48,48,48,48,65,65,65,65,65,65,43,43,43,43,43,43,50,NA,NA,NA,NA,NA,250,314,314,314,314,314,50,52.33,52.33,52.33,52.33,52.33,NA,50,50,50,50,50,NA,64,64,64,64,64
8,"Wartortle",NA,NA,NA,59,59,59,59,59,59,63,63,63,63,63,63,80,80,80,80,80,80,58,58,58,58,58,58,65,NA,NA,NA,NA,NA,325,405,405,405,405,405,65,67.5,67.5,67.5,67.5,67.5,NA,65,65,65,65,65,NA,80,80,80,80,80
9,"Blastoise",NA,NA,NA,79,79,79,79,79,79,83,83,83,83,83,83,100,100,100,100,100,100,78,78,78,78,78,78,85,NA,NA,NA,NA,NA,425,530,530,530,530,530,85,88.33,88.33,88.33,88.33,88.33,NA,85,85,85,85,85,NA,105,105,105,105,105
10,"Caterpie",NA,NA,NA,45,45,45,45,45,45,30,30,30,30,30,30,35,35,35,35,35,35,45,45,45,45,45,45,20,NA,NA,NA,NA,NA,175,195,195,195,195,195,35,32.5,32.5,32.5,32.5,32.5,NA,20,20,20,20,20,NA,20,20,20,20,20
11,"Metapod",NA,NA,NA,50,50,50,50,50,50,20,20,20,20,20,20,55,55,55,55,55,55,30,30,30,30,30,30,25,NA,NA,NA,NA,NA,180,205,205,205,205,205,36,34.17,34.17,34.17,34.17,34.17,NA,25,25,25,25,25,NA,25,25,25,25,25
12,"Butterfree",NA,NA,NA,60,60,60,60,60,60,45,45,45,45,45,45,50,50,50,50,50,50,70,70,70,70,70,70,80,NA,NA,NA,NA,NA,305,395,395,395,395,385,61,65.83,65.83,65.83,65.83,64.17,NA,90,90,90,90,80,NA,80,80,80,80,80
13,"Weedle",NA,NA,NA,40,40,40,40,40,40,35,35,35,35,35,35,30,30,30,30,30,30,50,50,50,50,50,50,20,NA,NA,NA,NA,NA,175,195,195,195,195,195,35,32.5,32.5,32.5,32.5,32.5,NA,20,20,20,20,20,NA,20,20,20,20,20
14,"Kakuna",NA,NA,NA,45,45,45,45,45,45,25,25,25,25,25,25,50,50,50,50,50,50,35,35,35,35,35,35,25,NA,NA,NA,NA,NA,180,205,205,205,205,205,36,34.17,34.17,34.17,34.17,34.17,NA,25,25,25,25,25,NA,25,25,25,25,25
15,"Beedrill",NA,NA,NA,65,65,65,65,65,65,80,90,90,90,90,80,40,40,40,40,40,40,75,75,75,75,75,75,45,NA,NA,NA,NA,NA,305,395,395,395,395,385,61,65.83,65.83,65.83,65.83,64.17,NA,45,45,45,45,45,NA,80,80,80,80,80
16,"Pidgey",NA,NA,NA,40,40,40,40,40,40,45,45,45,45,45,45,40,40,40,40,40,40,56,56,56,56,56,56,35,NA,NA,NA,NA,NA,216,251,251,251,251,251,43.2,41.83,41.83,41.83,41.83,41.83,NA,35,35,35,35,35,NA,35,35,35,35,35
17,"Pidgeotto",NA,NA,NA,63,63,63,63,63,63,60,60,60,60,60,60,55,55,55,55,55,55,71,71,71,71,71,71,50,NA,NA,NA,NA,NA,299,349,349,349,349,349,59.8,58.17,58.17,58.17,58.17,58.17,NA,50,50,50,50,50,NA,50,50,50,50,50
18,"Pidgeot",NA,NA,NA,83,83,83,83,83,83,80,80,80,80,80,80,75,75,75,75,75,75,91,101,101,101,101,91,70,NA,NA,NA,NA,NA,399,479,479,479,479,469,79.8,79.83,79.83,79.83,79.83,78.17,NA,70,70,70,70,70,NA,70,70,70,70,70
19,"Rattata",NA,NA,NA,30,30,30,30,30,30,56,56,56,56,56,56,35,35,35,35,35,35,72,72,72,72,72,72,25,NA,NA,NA,NA,NA,218,253,253,253,253,253,43.6,42.17,42.17,42.17,42.17,42.17,NA,25,25,25,25,25,NA,35,35,35,35,35
20,"Raticate",NA,NA,NA,55,55,55,55,55,55,81,81,81,81,81,81,60,60,60,60,60,60,97,97,97,97,97,97,50,NA,NA,NA,NA,NA,343,413,413,413,413,413,68.6,68.83,68.83,68.83,68.83,68.83,NA,50,50,50,50,50,NA,70,70,70,70,70
21,"Spearow",NA,NA,NA,40,40,40,40,40,40,60,60,60,60,60,60,30,30,30,30,30,30,70,70,70,70,70,70,31,NA,NA,NA,NA,NA,231,262,262,262,262,262,46.2,43.67,43.67,43.67,43.67,43.67,NA,31,31,31,31,31,NA,31,31,31,31,31
22,"Fearow",NA,NA,NA,65,65,65,65,65,65,90,90,90,90,90,90,65,65,65,65,65,65,100,100,100,100,100,100,61,NA,NA,NA,NA,NA,381,442,442,442,442,442,76.2,73.67,73.67,73.67,73.67,73.67,NA,61,61,61,61,61,NA,61,61,61,61,61
23,"Ekans",NA,NA,NA,35,35,35,35,35,35,60,60,60,60,60,60,44,44,44,44,44,44,55,55,55,55,55,55,40,NA,NA,NA,NA,NA,234,288,288,288,288,288,46.8,48,48,48,48,48,NA,40,40,40,40,40,NA,54,54,54,54,54
24,"Arbok",NA,NA,NA,60,60,60,60,60,60,85,85,95,95,95,85,69,69,69,69,69,69,80,80,80,80,80,80,65,NA,NA,NA,NA,NA,359,438,448,448,448,438,71.8,73,74.67,74.67,74.67,73,NA,65,65,65,65,65,NA,79,79,79,79,79
25,"Pikachu",NA,NA,NA,35,35,35,35,35,35,55,55,55,55,55,55,30,40,40,40,40,30,90,90,90,90,90,90,50,NA,NA,NA,NA,NA,260,320,320,320,320,300,52,53.33,53.33,53.33,53.33,50,NA,50,50,50,50,50,NA,50,50,50,50,40
26,"Raichu",NA,NA,NA,60,60,60,60,60,60,90,90,90,90,90,90,55,55,55,55,55,55,100,110,110,110,110,100,90,NA,NA,NA,NA,NA,395,485,485,485,485,475,79,80.83,80.83,80.83,80.83,79.17,NA,90,90,90,90,90,NA,80,80,80,80,80
27,"Sandshrew",NA,NA,NA,50,50,50,50,50,50,75,75,75,75,75,75,85,85,85,85,85,85,40,40,40,40,40,40,30,NA,NA,NA,NA,NA,280,300,300,300,300,300,56,50,50,50,50,50,NA,20,20,20,20,20,NA,30,30,30,30,30
28,"Sandslash",NA,NA,NA,75,75,75,75,75,75,100,100,100,100,100,100,110,110,110,110,110,110,65,65,65,65,65,65,55,NA,NA,NA,NA,NA,405,450,450,450,450,450,81,75,75,75,75,75,NA,45,45,45,45,45,NA,55,55,55,55,55
